arabic,english
هل أنهيتها؟,Have you finished it?
ألديك واحد؟,Do you have one?
هل لديك واحدة؟,Do you have one?
يمكنك الذهاب إلى هناك.,You may go there.
أسمح لك بالذهاب إلى هناك إذا أردت.,You may go there.
لست جاسوساً ، أليس كذلك؟,"You aren't a spy, are you?"
يمكنك أن تدرس هنا.,You can study here.
بإمكانك المذاكرة هنا.,You can study here.
ستصاب بالبرد هكذا.,You will catch cold.
دائماً ما تنتقدني!,You're always criticizing me!
إنك تعيبني دائماً.,You're always criticizing me!
إنك تذكر عيوبي دائماً!,You're always criticizing me!
أنت دائماً ما تشتكي.,You are always complaining.
كل ما تفعله هو الشكوى.,You are always complaining.
إنك تشتكي دائماً.,You are always complaining.
دائماً ما تتوقع حدوث المشاكل.,You're always anticipating trouble.
لديك بعض الكتب.,You have some books.
أنت فيلسوف، أليس كذلك؟,"You're a philosopher, aren't you?"
إنك فيلسوف ، أليس ذلك صحيحاً؟,"You're a philosopher, aren't you?"
تعجبني شجاعتك.,I admire your courage.
يعجبني فيك شجاعتك.,I admire you for your courage.
أنا معجب بشجاعتك.,I admire your courage.
أين عيناك حين تحتاجهما؟,Where are your eyes?
ألا تبصر؟,Where are your eyes?
ألا ترى؟,Where are your eyes?
أعرف اسمك.,I know your name.
يعجبني جهلك.,I admire your ignorance.
ما هدفك الحقيقي؟,What's your real purpose?
إجابتك صحيحة.,Your answer is right.
إجابتك خاطئة.,Your answer is wrong.
اهتم بشؤونك الخاصة.,Mind your own business!
لا تتدخل في ما لا يعنيك.,Mind your own business!
أهذا ابنك يا بِتِي؟,"Is this your son, Betty?"
ما هو مجال عملك؟,What's your major field?
أتوقع مساعدتك.,I expect your help.
أتوقع منك أن تساعدني.,I expect your help.
اكتب عنوانك هنا.,Write your address here.
سأشتاق إلى طبخك.,I'll miss your cooking.
هل يداك نظيفتان؟,Are your hands clean?
هل ساعتك دقيقة الوقت؟,Is your watch correct?
هل ساعتك على التوقيت الصحيح؟,Is your watch correct?
أين أشياءك؟,Where are your things?
اتبع قلبك فحسب.,Just follow your heart.
ما هو عملك؟,What do you do?
اختر مضربك المفضل.,Choose your favorite racket.
اختر مضربك المفضل.,Pick your favorite bat.
إفعل ما تريد.,Do as you like.
أعتقد أنك صائب.,I think you're right.
أعتقد أنك مصيب.,I think you're right.
أعتقد أن ما تقوله صحيح.,I think you're right.
أعتقد أن ما تقوله صحيح.,I believe what you said is true.
من الممكن أن يكون ما تقوله صحيح.,You may be right.
من الممكن أن يكون ما تقوله صحيح.,Maybe what you said is true.
حذاءك هنا.,Your shoes are here.
أين مدرستك؟,Where is your school?
تحتاج أقلامك إلى بري.,Your pencils need sharpening.
إنجليزيتك تتحسن.,Your English is improving.
لغتك الإنجليزية تتحسن.,Your English is improving.
أريد أن أعرف رأيك.,I want your opinion.
أريد أن أعرف رأيك.,I want to know your opinion.
سألقي نظرة على تقريرك.,I'll study your report.
إنتهى وقتك.,Your time is up.
إنتهى الوقت المخصص لك.,Your time is up.
تبدو خطتك جيدة.,Your plan sounds great.
كعكتك شهية.,Your cake is delicious.
ها هي حقيبتك.,Here is your bag.
لكم اشتقت إليك!,How I've missed you!
افتقدتك كثيراً!,How I've missed you!
أنت تستحق الجائزة.,You deserve the prize.
تستحق أن تنجح.,You deserve to succeed.
سأتركك غداً.,I'm leaving you tomorrow.
لا فائدة من المحاولة معك حقاً.,You really are hopeless.
إنكم أولاد يافعين.,You are young boys.
من مدرسك؟,Who is your teacher?
سمعت ذلك منك.,I heard it from you.
لأنك قلت ذلك.,Since you say so.
أنا لا ألومك.,I don't blame you.
أنا لا أضع اللوم عليك.,I don't blame you.
هل أنت كاتب هذا الكتاب؟,You wrote this book?
هل كتبت هذا الكتاب؟,You wrote this book?
أشتاق إليك كثيراً.,I miss you badly.
أشتاق إليك كثيراً.,I miss you very much.
أنا مشتاق إليك جداً.,I miss you badly.
أنا مشتاق إليك جداً.,I miss you very much.
لكم أنا مشتاق إليك.,How I miss you.
إخلع شرابك من فضلك.,"Take off your socks, please."
إخلع خفيك من فضلك.,"Take off your socks, please."
من دون الهواء ، لن يبقى شيء على قيد الحياة.,"Without air, nothing could live."
إن ذلك مؤلم ، توقف.,It's so painful. Stop it!
حان وقت الإستيقاظ.,Time to get up.
تحب المطر ، صحيح؟,"You like rain, don't you?"
أحس بالخطر فهرب.,"Sensing danger, he ran away."
انتبه! هناك شاحنة قادمة!,Look out! There's a truck coming!
علمني بعض الكانجي من فضلك.,"Teach me some kanji, please."
أعطني الحساب من فضلك.,"Give me the bill, please."
مكعب سكر واحد من فضلك.,"One lump of sugar, please."
انظروا إلى السبورة ، جميعكم.,"Look at the blackboard, everyone."
كلما تقابلا بدآ بالجدال.,"Whenever they meet, they quarrel."
كلما تقابلا تجادلا.,"Whenever they meet, they quarrel."
أهم شيء أن تهتم بما تأكله.,"Above all, watch your diet."
أهم شيء ، إهتم بنظامك الغذائي.,"Above all, watch your diet."
إمض اسمك في الأسفل إذا سمحت.,"Sign at the bottom, please."
هل كنت مملاً بالفعل؟,Was I really boring?
و كيف لي أن أعرف؟,How should I know?
اسمعني جيداً.,Listen to me carefully.
أصبح مشروع تتويبا ظاهرة إجتماعية و ثقافية مهمة في بلده الأم فرنسا.,"In its home country, France, Tatoeba became a social and cultural phenomenon."
أحدث مشروع تتويبا ثورة ثقافية و اجتماعية في بلده الأم فرنسا.,"In its home country, France, Tatoeba became a social and cultural phenomenon."
ضحكت فجأةً عندما رأيته.,I burst out laughing when I saw him.
كل شيء على ما يرام.,Everything is fine.
أنا رجل حر.,I'm a free man.
لا تقلق عليّ.,Don't worry about me.
ليس على مكتبي.,Don't put it on my desk.
أبي رفض ذلك.,My papa said no.
أحب ذاك الكرسي.,I love that chair.
دعِ الأمر لي.,Let me handle this.
اِبقَ بعيداً عني.,Keep away from me.
اِبقَ بعيداً عني.,Stay away from me.
لا يمكنني فعل ذلك.,I can't do it.
لا أستطيع أن أفعل ذلك.,I can't do it.
مرّر إليّ الملح إذا سمحت.,"Pass me the salt, please."
الإنجليز أكثرهم محافظين.,"Englishmen are, on the whole, conservative."
الإنجليز أكثرهم محافظين.,Most Englishmen are conservative.
أنت تحب اللغة الإنجليزية ، أليس كذلك؟,"You like English, don't you?"
أليست اللغة الإنجليزية صعبة؟,"English is difficult, isn't it?"
الإنجليزية لغة صعبة ، أليس كذلك؟,"English is difficult, isn't it?"
عموماً ، مدّخرات الأفراد في اِزدياد.,"Generally speaking, savings are increasing."
على العموم ، التاريخ يكرّر نفسه.,"Generally speaking, history repeats itself."
غالباً ما يعيد التاريخ نفسه.,"Generally speaking, history repeats itself."
ادرس بجد و ستنجح.,"Study hard, and you'll succeed."
تعال معي إذا سمحت.,"Come with me, will you?"
ألم نلتقي مسبقاً؟,Haven't we met before?
هل إلتقينا من قبل؟,Haven't we met before?
أفضّل لو ذهبت للسباحة.,I'd rather go swimming.
أفضّل أن أذهب للسباحة.,I'd rather go swimming.
قال توني: لا أعلم.,"I don't know, said Tony."
سأبيت في بيت أحد أصدقائي في مدينة واشنطن.,I'm staying at my friend's house in Washington City.
سأحضر بعض كؤوس الشرب.,I'll get some glasses.
عند إشارتك. واحد، إثنان، إنطلق!,"On your marks, get set, go!"
عند إشارتك. واحد، إثنان، إنطلق!,"On your mark, ready, set, go!"
تعرّض للإصابة عندما كان يلعب الركبي.,"Playing rugby, he got injured."
أعطني الملح من فضلك.,"The salt, if you please."
حسناً إتّفقنا.,All right. It's a deal.
و أخيراً وصلنا.,"Well, here we are!"
مرحباً جون ، كيف حالك؟,"Hello, John! How are you?"
أهلاً بيل ، كيف الأحوال؟,"Hi, Bill. How are you?"
الأبطال دائماً يصلون متأخرين.,Heroes always arrive late.
دائماً ما يصل الأبطال متأخّرين.,Heroes always arrive late.
أيمكنك أن تكرر ما قلته من فضلك؟,"Could you repeat that, please?"
إقرأها مرة أخرى من فضلك.,"Read it once more, please."
سأحاول مرة أخرى، شكراً لك.,"I'll try again, thank you."
